Water Control Zone,Station,Latitude,Longitude,Dates,Sample No,Depth,5-day Biochemical Oxygen Demand (mg/L),Ammonia Nitrogen (mg/L),Chlorophyll-a (μg/L),Dissolved Oxygen (mg/L),Faecal Coliforms (cfu/100mL),Orthophosphate Phosphorus (mg/L),Phaeo-pigments (μg/L),Salinity (psu),Total Inorganic Nitrogen (mg/L),Total Nitrogen (mg/L),Turbidity (NTU),Volatile Suspended Solids (mg/L)
Tolo Harbour and Channel,TM3,22.447617,114.203017,1/18/2017,1,Middle Water,1,0.13,1.2,5.5,140,0.003,1.1,30.1,0.15,0.34,1.8,0.7
Tolo Harbour and Channel,TM3,22.447617,114.203017,1/18/2017,1,Bottom Water,0.8,0.12,0.7,5.3,16,0.003,0.6,30.2,0.13,0.38,1.3,0.8
Tolo Harbour and Channel,TM3,22.447617,114.203017,2/20/2017,1,Surface Water,0.9,0.035,4.2,6.8,48,0.002,0.7,29.8,0.05,0.36,3.7,1.6
Tolo Harbour and Channel,TM3,22.447617,114.203017,2/20/2017,1,Middle Water,0.7,0.012,4,7.8,14,0.003,1.3,30.3,0.02,0.46,2.8,1
Tolo Harbour and Channel,TM3,22.447617,114.203017,2/20/2017,1,Bottom Water,0.5,0.026,1.8,7.6,4,0.002,1.5,30.5,0.03,1.1,2.9,1.3
Tolo Harbour and Channel,TM3,22.447617,114.203017,3/10/2017,1,Surface Water,1.5,0.032,6.4,8,10,0.003,1.6,30.2,0.05,0.47,2.5,1.2
Tolo Harbour and Channel,TM3,22.447617,114.203017,3/10/2017,1,Middle Water,0.8,0.042,4.2,8.1,13,0.003,0.9,30.2,0.06,0.39,2.5,1.2
Tolo Harbour and Channel,TM3,22.447617,114.203017,3/10/2017,1,Bottom Water,0.9,0.044,1.7,7.5,6,0.003,0.7,30.6,0.06,0.4,2.4,0.8
Tolo Harbour and Channel,TM3,22.447617,114.203017,4/5/2017,1,Surface Water,1.9,0.089,1.3,6.3,59,0.005,1.2,29.7,0.19,0.48,2.1,1.5
Tolo Harbour and Channel,TM3,22.447617,114.203017,4/5/2017,1,Middle Water,1.3,0.057,0.5,7,27,0.004,0,30.5,0.12,0.41,0.3,1.6
Tolo Harbour and Channel,TM3,22.447617,114.203017,4/5/2017,1,Bottom Water,1.6,0.068,1.8,7.2,2,0.004,0.7,31.2,0.12,0.6,0.7,2.3
Tolo Harbour and Channel,TM3,22.447617,114.203017,5/19/2017,1,Surface Water,2.7,0.064,6,7.5,22,0,3.9,29.1,0.08,0.66,4.5,3.7
Tolo Harbour and Channel,TM3,22.447617,114.203017,5/19/2017,1,Middle Water,1.7,0.044,3.6,7.3,7,0,2.1,29.4,0.06,0.39,0.7,0.6
Tolo Harbour and Channel,TM3,22.447617,114.203017,5/19/2017,1,Bottom Water,1.7,0.047,2.1,6.7,3,0,1.2,31.9,0.06,0.3,0.4,0.5
Tolo Harbour and Channel,TM3,22.447617,114.203017,6/14/2017,1,Surface Water,1.6,0.16,5.5,5.3,29000,0.02,3.5,30.5,0.4,0.64,1.2,1.6
Tolo Harbour and Channel,TM3,22.447617,114.203017,6/14/2017,1,Middle Water,1.3,0.086,3.2,4.7,9500,0.011,2.8,31.6,0.14,0.36,0.8,0.9
Tolo Harbour and Channel,TM3,22.447617,114.203017,6/14/2017,1,Bottom Water,0.6,0.082,0.9,4.5,290,0.011,0.5,32,0.09,0.25,1.4,0.7
Tolo Harbour and Channel,TM3,22.447617,114.203017,7/12/2017,1,Surface Water,3.8,0.045,8.2,9.6,94,0.002,1.7,26.3,0.05,0.22,1.4,2.3
Tolo Harbour and Channel,TM3,22.447617,114.203017,7/12/2017,1,Middle Water,1.4,0.047,11,10.6,24,0.004,2.8,28.4,0.05,0.23,1.2,1.3
Tolo Harbour and Channel,TM3,22.447617,114.203017,7/12/2017,1,Bottom Water,0.9,0.14,1.9,3.6,2,0.035,1.9,31.8,0.17,0.36,1.1,0.8
Tolo Harbour and Channel,TM3,22.447617,114.203017,8/18/2017,1,Surface Water,2.1,0.008,3.2,5.5,5,0.014,0.8,32.7,0.01,0.47,0.7,1.8
Tolo Harbour and Channel,TM3,22.447617,114.203017,8/18/2017,1,Middle Water,2.3,0.011,3.4,5.8,5,0.022,1.5,33.3,0.02,0.28,1.1,3
Tolo Harbour and Channel,TM3,22.447617,114.203017,8/18/2017,1,Bottom Water,1.4,0.056,7.1,5.1,5,0.053,6.5,33.9,0.06,0.34,5.1,2.4
